district,feature,group,count,disparity,scale
031901,D-EXPULSION ACTIONS,HISPANIC/LATINO,1,-0.4934,-0.974172
031901,D-EXPULSION ACTIONS,WHITE,1,49.0122,0.980065
031901,E-DAEP PLACEMENTS,HISPANIC/LATINO,1,-0.4934,-0.974172
031901,E-DAEP PLACEMENTS,WHITE,1,49.0122,0.980065
031901,F-OUT OF SCHOOL SUSPENSIONS,BLACK OR AFRICAN AMERICAN,1,-0.9932,-0.740456
031901,F-OUT OF SCHOOL SUSPENSIONS,HISPANIC/LATINO,2700,0.0124,1.0
031901,F-OUT OF SCHOOL SUSPENSIONS,WHITE,1,-0.9932,-1.0
031901,G-IN SCHOOL SUSPENSIONS,AMERICAN INDIAN OR ALASKA NAT,1,-0.9994,0.847897
031901,G-IN SCHOOL SUSPENSIONS,BLACK OR AFRICAN AMERICAN,1,-0.9994,-0.997402
031901,G-IN SCHOOL SUSPENSIONS,HISPANIC/LATINO,8797,0.0075,1.0
031901,G-IN SCHOOL SUSPENSIONS,NATIVE HAWAIIAN/OTHER PACIFIC,1,-0.9994,0.847897
031901,G-IN SCHOOL SUSPENSIONS,WHITE,46,-0.971,-0.999998
108902,D-EXPULSION ACTIONS,HISPANIC/LATINO,15,0.0029,0.043091
108902,E-DAEP PLACEMENTS,HISPANIC/LATINO,1,-0.4985,-0.994012
108902,E-DAEP PLACEMENTS,WHITE,1,254.65,0.995962
108902,F-OUT OF SCHOOL SUSPENSIONS,BLACK OR AFRICAN AMERICAN,1,-0.9993,-0.912341
108902,F-OUT OF SCHOOL SUSPENSIONS,HISPANIC/LATINO,4589,0.0025,0.999499
108902,F-OUT OF SCHOOL SUSPENSIONS,WHITE,1,-0.9993,-0.996948
108902,G-IN SCHOOL SUSPENSIONS,BLACK OR AFRICAN AMERICAN,6,-0.9986,-0.623112
108902,G-IN SCHOOL SUSPENSIONS,HISPANIC/LATINO,8016,-0.0024,-0.996369
108902,G-IN SCHOOL SUSPENSIONS,WHITE,37,-0.9913,0.999616
108903,D-EXPULSION ACTIONS,HISPANIC/LATINO,5,0.0068,0.033248
108903,E-DAEP PLACEMENTS,HISPANIC/LATINO,1,-0.4966,-0.986179
108903,E-DAEP PLACEMENTS,WHITE,1,102.8,0.990009
108903,F-OUT OF SCHOOL SUSPENSIONS,HISPANIC/LATINO,1027,0.0009,0.532599
108903,F-OUT OF SCHOOL SUSPENSIONS,WHITE,6,-0.9708,0.588426
108903,G-IN SCHOOL SUSPENSIONS,AMERICAN INDIAN OR ALASKA NAT,1,-0.9991,0.689152
108903,G-IN SCHOOL SUSPENSIONS,BLACK OR AFRICAN AMERICAN,1,-0.9991,-0.603036
108903,G-IN SCHOOL SUSPENSIONS,HISPANIC/LATINO,2330,0.0021,0.813319
108903,G-IN SCHOOL SUSPENSIONS,NATIVE HAWAIIAN/OTHER PACIFIC,1,-0.9991,-0.603036
108903,G-IN SCHOOL SUSPENSIONS,WHITE,8,-0.9924,-0.74151
108904,D-EXPULSION ACTIONS,HISPANIC/LATINO,11,0.0194,0.190199
108904,E-DAEP PLACEMENTS,BLACK OR AFRICAN AMERICAN,1,-0.9496,-0.486273
108904,E-DAEP PLACEMENTS,HISPANIC/LATINO,804,-0.0017,-0.603287
108904,E-DAEP PLACEMENTS,TWO OR MORE RACES,1,-0.9496,0.433661
108904,E-DAEP PLACEMENTS,WHITE,15,-0.2433,0.977632
108904,F-OUT OF SCHOOL SUSPENSIONS,AMERICAN INDIAN OR ALASKA NAT,1,-0.9993,0.830752
108904,F-OUT OF SCHOOL SUSPENSIONS,ASIAN,1,-0.9993,-1.0
108904,F-OUT OF SCHOOL SUSPENSIONS,BLACK OR AFRICAN AMERICAN,30,-0.9787,0.999404
108904,F-OUT OF SCHOOL SUSPENSIONS,HISPANIC/LATINO,6784,-0.0017,-0.80566
108904,F-OUT OF SCHOOL SUSPENSIONS,TWO OR MORE RACES,1,-0.9993,-0.987677
108904,F-OUT OF SCHOOL SUSPENSIONS,WHITE,110,-0.9221,0.999971
108904,G-IN SCHOOL SUSPENSIONS,AMERICAN INDIAN OR ALASKA NAT,7,-0.9992,0.999516
108904,G-IN SCHOOL SUSPENSIONS,ASIAN,1,-0.9999,-1.0
108904,G-IN SCHOOL SUSPENSIONS,BLACK OR AFRICAN AMERICAN,51,-0.9941,0.977961
108904,G-IN SCHOOL SUSPENSIONS,HISPANIC/LATINO,17012,0.0075,1.0
108904,G-IN SCHOOL SUSPENSIONS,TWO OR MORE RACES,1,-0.9999,-0.999989
108904,G-IN SCHOOL SUSPENSIONS,WHITE,141,-0.9838,-0.975678
031903,D-EXPULSION ACTIONS,HISPANIC/LATINO,1,-0.453,-0.835566
031903,D-EXPULSION ACTIONS,WHITE,1,5.9444,0.861093
031903,E-DAEP PLACEMENTS,AMERICAN INDIAN OR ALASKA NAT,1,-0.9816,-0.573805
031903,E-DAEP PLACEMENTS,HISPANIC/LATINO,999,0.0917,1.0
031903,E-DAEP PLACEMENTS,WHITE,1,-0.9861,-1.0
031903,F-OUT OF SCHOOL SUSPENSIONS,AMERICAN INDIAN OR ALASKA NAT,1,-0.9852,-0.63196
031903,F-OUT OF SCHOOL SUSPENSIONS,BLACK OR AFRICAN AMERICAN,1,-0.9852,-0.972196
031903,F-OUT OF SCHOOL SUSPENSIONS,HISPANIC/LATINO,1115,0.091,1.0
031903,F-OUT OF SCHOOL SUSPENSIONS,WHITE,1,-0.9876,-1.0
031903,G-IN SCHOOL SUSPENSIONS,AMERICAN INDIAN OR ALASKA NAT,1,-0.9994,-0.999279
031903,G-IN SCHOOL SUSPENSIONS,ASIAN,9,-0.9946,-0.999993
031903,G-IN SCHOOL SUSPENSIONS,BLACK OR AFRICAN AMERICAN,39,-0.9766,0.95344
031903,G-IN SCHOOL SUSPENSIONS,HISPANIC/LATINO,5321,0.0484,1.0
031903,G-IN SCHOOL SUSPENSIONS,NATIVE HAWAIIAN/OTHER PACIFIC,1,-0.9994,0.768898
031903,G-IN SCHOOL SUSPENSIONS,TWO OR MORE RACES,9,-0.9946,0.849122
031903,G-IN SCHOOL SUSPENSIONS,WHITE,172,-0.8969,-1.0
031803,F-OUT OF SCHOOL SUSPENSIONS,HISPANIC/LATINO,67,-0.0107,-0.548818
031803,F-OUT OF SCHOOL SUSPENSIONS,WHITE,5,-0.5775,0.759351
108905,E-DAEP PLACEMENTS,HISPANIC/LATINO,52,0.0019,0.09115
108905,F-OUT OF SCHOOL SUSPENSIONS,HISPANIC/LATINO,82,0.0019,0.139318
108905,G-IN SCHOOL SUSPENSIONS,BLACK OR AFRICAN AMERICAN,1,539.1667,0.997534
108905,G-IN SCHOOL SUSPENSIONS,HISPANIC/LATINO,1,-0.4991,-0.995687
108807,D-EXPULSION ACTIONS,HISPANIC/LATINO,1,0.0525,0.049891
108807,F-OUT OF SCHOOL SUSPENSIONS,AMERICAN INDIAN OR ALASKA NAT,1,-0.8774,0.695769
108807,F-OUT OF SCHOOL SUSPENSIONS,ASIAN,1,-0.8774,-0.867877
108807,F-OUT OF SCHOOL SUSPENSIONS,BLACK OR AFRICAN AMERICAN,33,3.0445,1.0
108807,F-OUT OF SCHOOL SUSPENSIONS,HISPANIC/LATINO,319,-0.0569,-0.999967
108807,F-OUT OF SCHOOL SUSPENSIONS,TWO OR MORE RACES,1,-0.8774,0.483916
